                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     177,      177,      175,      175,      175,      175,      175,      175,      171,      171,      171,      166,      166,      160,      160,      160,      160,      160,      160,      160,      160,      160,      159,      142,      137,      137,      118,      113,      113,       98,       88,       88,       87,       87,       86,       86,       86,       86,       86,       85,       85,       85,       79,       79,       79,       78,       78,       78,       78,       78,       78,       78,       78,       78,       78,       78,       78,       78,       77,       77,       77,       76,       73,       71,       69,       63,       61,       61,       61,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       40,       20,       20,       20,       20,       20,        1,        1,        1,        1,        0},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   35 sn,    40 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     5 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _49C,     5 dk,     _00C,    19 dk,     5 dk,     0 dk,    15 dk,    10 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    32 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    32 lt,     0 sn,    10 sn,     1 dk,     _44C,     1 dk,     _50C,     _62C,     2 dk,     0 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    20 dk,    20 dk,     0 dk,     0 dk,     0 lt,     0 dk,    19 dk,     0 dk,     0 dk,     0 dk,    35 sn,     0 dk},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _00,      _30,      _28,      _00,      _28,      _28,      _00,      _28,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _26,      _26,      _26,      _28,      _30,      _24,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,    _idle,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw2,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,    _dwnn,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _uppp,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                        TABLET(Fonksiyon Tablo 1) {     192,      192,      190,      190,      190,      190,      190,      190,      186,      186,      186,      181,      181,      175,      175,      175,      175,      175,      175,      175,      175,      175,      174,      157,      152,      152,      133,      128,      128,      113,      103,      103,      102,      102,      101,      101,      101,      101,      101,      100,      100,      100,       94,       94,       94,       93,       93,       93,       93,       93,       93,       93,       93,       93,       93,       93,       93,       93,       92,       92,       92,       91,       88,       86,       84,       73,       71,       71,       71,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       70,       50,       30,       30,       30,       30,       30,       11,       11,       11,        1,        0},
                                        TABLET(Fonksiyon Tablo 1) {   35 sn,    40 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     5 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _49C,     5 dk,     _00C,    19 dk,     5 dk,     0 dk,    15 dk,    10 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    36 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    34 lt,     0 sn,    10 sn,     1 dk,     _44C,     1 dk,     _50C,     _68C,     2 dk,     0 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    20 dk,    20 dk,     0 dk,     0 dk,     0 lt,     0 dk,    19 dk,     0 dk,     0 dk,    10 dk,    35 sn,     0 dk},
                                        TABLET(Fonksiyon Tablo 1) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _00,      _30,      _28,      _00,      _28,      _28,      _00,      _28,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _26,      _26,      _26,      _28,      _26,      _24,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                        TABLET(Fonksiyon Tablo 1) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,    _idle,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw2,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,    _dwnn,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _uppp,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                     YARIM YUK(Fonksiyon Tablo 2) {     165,      165,      163,      163,      163,      163,      163,      163,      159,      159,      159,      154,      154,      148,      148,      148,      148,      148,      148,      148,      148,      148,      147,      132,      127,      127,      117,      112,      112,       97,       87,       87,       86,       86,       85,       85,       85,       85,       85,       84,       84,       84,       78,       78,       78,       77,       77,       77,       77,       77,       77,       77,       77,       77,       77,       77,       77,       77,       76,       76,       76,       75,       73,       71,       69,       63,       61,       61,       61,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       60,       40,       20,       20,       20,       20,       20,        1,        1,        1,        1,        0},
