                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     189,      189,      187,      187,      187,      187,      187,      187,      183,      183,      183,      180,      180,      174,      174,      174,      174,      174,      174,      174,      174,      174,      173,      163,      158,      158,      138,      133,      133,      115,      107,      107,      106,      106,      105,      105,      105,      105,      105,      104,      104,      104,       98,       98,       98,       97,       97,       97,       97,       97,       97,       97,       97,       97,       97,       97,       97,       97,       96,       96,       96,       87,       83,       82,       80,       78,       78,       77,       77,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       66,       51,       51,       51,       51,       51,       36,       26,        6,        1,        0},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   35 sn,    40 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     3 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     5 dk,     _48C,    20 dk,     5 dk,     0 dk,    18 dk,     8 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    32 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    32 lt,     0 sn,    10 sn,     9 dk,     _44C,     1 dk,     _50C,     _58C,     0 dk,    30 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    10 dk,    15 dk,     0 dk,     0 dk,     0 lt,     0 dk,    15 dk,    10 dk,    20 dk,     5 dk,    35 sn,     0 dk},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _26,      _28,      _32,      _00,      _28,      _24,      _00,      _24,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _26,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _28,      _26,      _24,      _28,      _26,      _00,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,   _upDw1,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw1,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _idle,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                        TABLET(Fonksiyon Tablo 1) {     204,      204,      202,      202,      202,      202,      202,      202,      198,      198,      198,      195,      195,      189,      189,      189,      189,      189,      189,      189,      189,      189,      188,      178,      173,      173,      153,      148,      148,      130,      122,      122,      121,      121,      120,      120,      120,      120,      120,      119,      119,      119,      113,      113,      113,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      111,      111,      111,      102,       98,       97,       95,       88,       88,       87,       87,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       76,       61,       61,       61,       61,       61,       46,       36,       16,        1,        0},
                                        TABLET(Fonksiyon Tablo 1) {   35 sn,    40 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     3 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     5 dk,     _48C,    20 dk,     5 dk,     0 dk,    18 dk,     8 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    36 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    34 lt,     0 sn,    10 sn,     9 dk,     _44C,     1 dk,     _50C,     _68C,     0 dk,    30 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    10 dk,    15 dk,     0 dk,     0 dk,     0 lt,     0 dk,    15 dk,    10 dk,    20 dk,    15 dk,    35 sn,     0 dk},
                                        TABLET(Fonksiyon Tablo 1) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _26,      _28,      _32,      _00,      _28,      _24,      _00,      _24,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _26,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _28,      _26,      _24,      _28,      _26,      _00,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                        TABLET(Fonksiyon Tablo 1) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,   _upDw1,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw1,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _idle,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                     YARIM YUK(Fonksiyon Tablo 2) {     172,      172,      170,      170,      170,      170,      170,      170,      166,      166,      166,      163,      163,      157,      157,      157,      157,      157,      157,      157,      157,      157,      156,      146,      141,      141,      131,      126,      126,      108,      100,      100,       99,       99,       98,       98,       98,       98,       98,       97,       97,       97,       91,       91,       91,       90,       90,       90,       90,       90,       90,       90,       90,       90,       90,       90,       90,       90,       89,       89,       89,       86,       83,       82,       80,       78,       78,       77,       77,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       66,       51,       51,       51,       51,       51,       36,       26,        6,        1,        0},
