                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     143,      143,      141,      141,      141,      141,      141,      141,      129,      129,      129,      129,      129,      129,      129,      129,      129,      128,      127,      126,      126,      126,      125,      113,      107,       96,       87,       70,       70,       60,       59,       59,       59,       59,       58,       58,       58,       58,       58,       57,       56,       56,       51,       51,       51,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       49,       48,       48,       48,       39,       38,       34,       31,       26,       26,       26,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       15,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   30 sn,    42 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,    12 dk,     0 sn,     _00C,     0 dk,     0 sn,     0 dk,     0 sn,     0 dk,    15 sn,    45 sn,    46 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     6 dk,     _68C,     9 dk,    17 dk,     0 dk,    10 dk,     1 dk,     0 dk,     0 sn,    15 sn,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,    42 lt,     0 sn,     0 sn,     5 dk,     0 sn,    15 sn,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    32 lt,     0 sn,    30 sn,     0 dk,     _50C,     1 dk,     _60C,     _65C,     5 dk,     0 sn,     0 dk,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    10 dk,    14 dk,     0 dk,     0 dk,     0 lt,     0 dk,     0 dk,     0 dk,     0 dk,     0 dk,    35 sn,     0 dk},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _00,      _00,      _28,      _00,      _28,      _28,      _30,      _34,      _34,      _30,      _00,      _30,      _30,      _00,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _30,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _30,      _00,      _30,      _30,      _34,      _30,      _34,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                  FONKSIYONSUZ(Fonksiyon Tablo 0) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw3,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _runn,    _runn,    _dwnn,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,   _upDw1,    _dwnn,    _dwnn,   _upDw1,    _idle,   _upDw1,    _dwnn,    _idle,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw1,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,    _uppp,    _dwnn,    _idle,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                        TABLET(Fonksiyon Tablo 1) {     155,      155,      153,      153,      153,      153,      153,      153,      141,      141,      141,      141,      141,      141,      141,      141,      141,      140,      139,      138,      138,      138,      137,      125,      119,      108,       99,       82,       82,       72,       71,       71,       71,       71,       70,       70,       70,       70,       70,       69,       68,       68,       63,       63,       63,       62,       62,       62,       62,       62,       62,       62,       62,       62,       62,       62,       62,       62,       61,       60,       60,       60,       51,       50,       46,       41,       36,       36,       36,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       35,       15,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1},
                                        TABLET(Fonksiyon Tablo 1) {   30 sn,    42 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,    12 dk,     0 sn,     _00C,     0 dk,     0 sn,     0 dk,     0 sn,     0 dk,    15 sn,    45 sn,    46 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     6 dk,     _68C,     9 dk,    17 dk,     0 dk,    10 dk,     1 dk,     0 dk,     0 sn,    15 sn,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,    46 lt,     0 sn,     0 sn,     5 dk,     0 sn,    15 sn,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    34 lt,     0 sn,    30 sn,     0 dk,     _50C,     1 dk,     _60C,     _68C,     5 dk,     0 sn,     0 dk,    45 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    20 dk,    14 dk,     0 dk,     0 dk,     0 lt,     0 dk,     0 dk,     0 dk,     0 dk,     0 dk,    35 sn,     0 dk},
                                        TABLET(Fonksiyon Tablo 1) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _00,      _00,      _28,      _00,      _28,      _28,      _30,      _34,      _34,      _30,      _00,      _30,      _30,      _00,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _30,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _30,      _00,      _30,      _30,      _34,      _30,      _34,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                        TABLET(Fonksiyon Tablo 1) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw3,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _runn,    _runn,    _dwnn,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,   _upDw1,    _dwnn,    _dwnn,   _upDw1,    _idle,   _upDw1,    _dwnn,    _idle,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw1,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,    _uppp,    _dwnn,    _idle,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                     YARIM YUK(Fonksiyon Tablo 2) {     118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118,      117,      116,      115,      115,      115,      114,      103,       97,       87,       78,       61,       61,       56,       55,       55,       55,       55,       54,       54,       54,       54,       54,       53,       52,       52,       47,       47,       47,       46,       46,       46,       46,       46,       46,       46,       46,       46,       46,       46,       46,       46,       45,       44,       44,       44,       36,       35,       31,       28,       26,       26,       26,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       25,       15,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1},
